C,meme,SR,MBF,AES,mu,gens,k,depth,maxS,runs
100,false,0.0,0.23886327,0.0,50,150,3,0,0,100
100,false,0.0,0.18995543,0.0,50,150,4,0,0,100
100,false,0.0,0.15933327,0.0,50,150,5,0,0,100
100,false,0.0,0.5038373,0.0,50,300,1,0,0,100
100,false,0.0,0.38000992,0.0,50,300,2,0,0,100
100,false,0.0,0.2832822,0.0,50,300,3,0,0,100
100,false,0.0,0.21745588,0.0,50,300,4,0,0,100
100,false,0.0,0.17195606,0.0,50,300,5,0,0,100
100,false,0.0,0.51468265,0.0,50,450,1,0,0,100
100,false,0.0,0.3918861,0.0,50,450,2,0,0,100
100,false,0.0,0.29036656,0.0,50,450,3,0,0,100
100,false,0.0,0.21912856,0.0,50,450,4,0,0,100
100,false,0.0,0.17183171,0.0,50,450,5,0,0,100
100,false,0.0,0.51784617,0.0,50,600,1,0,0,100
100,false,0.0,0.3937419,0.0,50,600,2,0,0,100
100,false,0.0,0.29810914,0.0,50,600,3,0,0,100
100,false,0.0,0.21887226,0.0,50,600,4,0,0,100
100,false,0.0,0.1701136,0.0,50,600,5,0,0,100
100,false,0.0,0.52256674,0.0,50,750,1,0,0,100
100,false,0.0,0.38921207,0.0,50,750,2,0,0,100
100,false,0.0,0.30323786,0.0,50,750,3,0,0,100
100,false,0.0,0.22489578,0.0,50,750,4,0,0,100
100,false,0.0,0.17071518,0.0,50,750,5,0,0,100
100,false,0.0,0.5150998,0.0,100,150,1,0,0,100
100,false,0.0,0.44461012,0.0,100,150,2,0,0,100
100,false,0.0,0.3666512,0.0,100,150,3,0,0,100
100,false,0.0,0.31610608,0.0,100,150,4,0,0,100
100,false,0.0,0.2660375,0.0,100,150,5,0,0,100
100,false,0.0,0.6537398,0.0,100,300,1,0,0,100
100,false,0.0,0.55748594,0.0,100,300,2,0,0,100
100,false,0.0,0.46525815,0.0,100,300,3,0,0,100
100,false,0.0,0.41725758,0.0,100,300,4,0,0,100
100,false,0.0,0.35193422,0.0,100,300,5,0,0,100
100,false,0.0,0.726222,0.0,100,450,1,0,0,100
100,false,0.0,0.5782278,0.0,100,450,2,0,0,100
100,false,0.0,0.4831833,0.0,100,450,3,0,0,100
100,false,0.0,0.43714616,0.0,100,450,4,0,0,100
100,false,0.0,0.38398823,0.0,100,450,5,0,0,100
100,false,0.0,0.7718119,0.0,100,600,1,0,0,100
100,false,0.0,0.5726381,0.0,100,600,2,0,0,100
100,false,0.0,0.48696345,0.0,100,600,3,0,0,100
100,false,0.0,0.4497686,0.0,100,600,4,0,0,100
100,false,0.0,0.39163628,0.0,100,600,5,0,0,100
100,false,0.0,0.78947794,0.0,100,750,1,0,0,100
100,false,0.0,0.57439274,0.0,100,750,2,0,0,100
100,false,0.0,0.48225918,0.0,100,750,3,0,0,100
100,false,0.0,0.4473187,0.0,100,750,4,0,0,100
100,false,0.0,0.39714155,0.0,100,750,5,0,0,100
100,false,0.0,0.61622363,0.0,150,150,1,0,0,100
100,false,0.0,0.55376446,0.0,150,150,2,0,0,100
100,false,0.0,0.47950348,0.0,150,150,3,0,0,100
100,false,0.0,0.41241208,0.0,150,150,4,0,0,100
100,false,0.0,0.35273248,0.0,150,150,5,0,0,100
100,false,0.0,0.8368346,0.0,150,300,1,0,0,100
100,false,0.0,0.6839534,0.0,150,300,2,0,0,100
100,false,0.0,0.616775,0.0,150,300,3,0,0,100
100,false,0.0,0.5430521,0.0,150,300,4,0,0,100
100,false,0.0,0.47566402,0.0,150,300,5,0,0,100
100,false,12.0,0.9053633,57075.0,150,450,1,0,0,100
100,false,0.0,0.7137156,0.0,150,450,2,0,0,100
100,false,0.0,0.63172257,0.0,150,450,3,0,0,100
100,false,0.0,0.5661221,0.0,150,450,4,0,0,100
100,false,0.0,0.5029034,0.0,150,450,5,0,0,100
100,false,23.0,0.92844266,67415.22,150,600,1,0,0,100
100,false,0.0,0.77161026,0.0,150,600,2,0,0,100
100,false,0.0,0.63238347,0.0,150,600,3,0,0,100
100,false,0.0,0.57447195,0.0,150,600,4,0,0,100
100,false,0.0,0.51260215,0.0,150,600,5,0,0,100
100,false,25.0,0.9246066,70254.0,150,750,1,0,0,100
100,false,0.0,0.79886216,0.0,150,750,2,0,0,100
100,false,0.0,0.6354188,0.0,150,750,3,0,0,100
100,false,0.0,0.57130694,0.0,150,750,4,0,0,100
100,false,0.0,0.5127062,0.0,150,750,5,0,0,100
100,false,0.0,0.66380394,0.0,200,150,1,0,0,100
100,false,0.0,0.58776236,0.0,200,150,2,0,0,100
100,false,0.0,0.564865,0.0,200,150,3,0,0,100
100,false,0.0,0.49914527,0.0,200,150,4,0,0,100
100,false,0.0,0.43937853,0.0,200,150,5,0,0,100
100,false,30.0,0.9305941,50253.332,200,300,1,0,0,100
100,false,1.0,0.71572113,47200.0,200,300,2,0,0,100
100,false,0.0,0.70071334,0.0,200,300,3,0,0,100
100,false,0.0,0.6543361,0.0,200,300,4,0,0,100
100,false,0.0,0.5954233,0.0,200,300,5,0,0,100
100,false,67.0,0.98136055,62026.867,200,450,1,0,0,100
100,false,3.0,0.86576813,74266.664,200,450,2,0,0,100
100,false,1.0,0.7095625,61800.0,200,450,3,0,0,100
100,false,0.0,0.663704,0.0,200,450,4,0,0,100
100,false,0.0,0.61233974,0.0,200,450,5,0,0,100
100,false,85.0,0.9922403,70894.12,200,600,1,0,0,100
100,false,4.0,0.8969879,79400.0,200,600,2,0,0,100
100,false,1.0,0.7290479,61800.0,200,600,3,0,0,100
100,false,0.0,0.676988,0.0,200,600,4,0,0,100
100,false,0.0,0.61432993,0.0,200,600,5,0,0,100
100,false,97.0,0.9986928,78206.19,200,750,1,0,0,100
100,false,8.0,0.90335023,109425.0,200,750,2,0,0,100
100,false,1.0,0.7399386,61800.0,200,750,3,0,0,100
100,false,0.0,0.6741997,0.0,200,750,4,0,0,100
100,false,0.0,0.62246346,0.0,200,750,5,0,0,100
100,false,0.0,0.68344814,0.0,250,150,1,0,0,100
100,false,0.0,0.6498639,0.0,250,150,2,0,0,100
100,false,0.0,0.61087716,0.0,250,150,3,0,0,100
100,false,0.0,0.53829443,0.0,250,150,4,0,0,100
100,false,0.0,0.50431967,0.0,250,150,5,0,0,100
100,false,80.0,0.9712073,58928.125,250,300,1,0,0,100
100,false,17.0,0.87429756,65088.234,250,300,2,0,0,100
100,false,1.0,0.72289824,64250.0,250,300,3,0,0,100
100,false,1.0,0.63506085,66500.0,250,300,4,0,0,100
100,false,0.0,0.6419829,0.0,250,300,5,0,0,100
100,false,100.0,1.0,64765.0,250,450,1,0,0,100
100,false,46.0,0.9603635,83331.52,250,450,2,0,0,100
100,false,5.0,0.7804112,88700.0,250,450,3,0,0,100
100,false,2.0,0.64665306,80125.0,250,450,4,0,0,100
100,false,0.0,0.6540544,0.0,250,450,5,0,0,100
100,false,100.0,1.0,64765.0,250,600,1,0,0,100
100,false,64.0,0.9784592,95964.84,250,600,2,0,0,100
100,false,12.0,0.8528072,114979.164,250,600,3,0,0,100
100,false,2.0,0.66481256,80125.0,250,600,4,0,0,100
100,false,0.0,0.6578641,0.0,250,600,5,0,0,100
100,false,100.0,1.0,64765.0,250,750,1,0,0,100
100,false,82.0,0.98925686,111442.07,250,750,2,0,0,100
100,false,17.0,0.88599795,127852.94,250,750,3,0,0,100
100,false,3.0,0.67948747,115333.336,250,750,4,0,0,100
100,false,0.0,0.66447496,0.0,250,750,5,0,0,100
100,true,0.0,0.38440838,0.0,50,150,1,1,10,100
100,true,0.0,0.30441257,0.0,50,150,1,1,50,100
100,true,0.0,0.23886327,0.0,50,150,1,1,100,100
100,true,0.0,0.18995543,0.0,50,150,1,1,150,100
100,true,0.0,0.15933327,0.0,50,150,1,1,200,100
100,true,0.0,0.5038373,0.0,50,150,1,2,10,100
100,true,0.0,0.38000992,0.0,50,150,1,2,50,100
100,true,0.0,0.2832822,0.0,50,150,1,2,100,100
100,true,0.0,0.21745588,0.0,50,150,1,2,150,100
100,true,0.0,0.17195606,0.0,50,150,1,2,200,100
100,true,0.0,0.51468265,0.0,50,150,1,3,10,100
100,true,0.0,0.3918861,0.0,50,150,1,3,50,100
100,true,0.0,0.29036656,0.0,50,150,1,3,100,100
100,true,0.0,0.21912856,0.0,50,150,1,3,150,100
100,true,0.0,0.17183171,0.0,50,150,1,3,200,100
100,true,0.0,0.51784617,0.0,50,150,1,4,10,100
100,true,0.0,0.3937419,0.0,50,150,1,4,50,100
100,true,0.0,0.29810914,0.0,50,150,1,4,100,100
100,true,0.0,0.21887226,0.0,50,150,1,4,150,100
100,true,0.0,0.1701136,0.0,50,150,1,4,200,100
100,true,0.0,0.52256674,0.0,50,150,1,5,10,100
100,true,0.0,0.38921207,0.0,50,150,1,5,50,100
100,true,0.0,0.30323786,0.0,50,150,1,5,100,100
100,true,0.0,0.22489578,0.0,50,150,1,5,150,100
100,true,0.0,0.17071518,0.0,50,150,1,5,200,100
100,true,0.0,0.5150998,0.0,50,150,2,1,10,100
100,true,0.0,0.44461012,0.0,50,150,2,1,50,100
100,true,0.0,0.3666512,0.0,50,150,2,1,100,100
100,true,0.0,0.31610608,0.0,50,150,2,1,150,100
100,true,0.0,0.2660375,0.0,50,150,2,1,200,100
100,true,0.0,0.6537398,0.0,50,150,2,2,10,100
100,true,0.0,0.55748594,0.0,50,150,2,2,50,100
100,true,0.0,0.46525815,0.0,50,150,2,2,100,100
100,true,0.0,0.41725758,0.0,50,150,2,2,150,100
100,true,0.0,0.35193422,0.0,50,150,2,2,200,100
100,true,0.0,0.726222,0.0,50,150,2,3,10,100
100,true,0.0,0.5782278,0.0,50,150,2,3,50,100
100,true,0.0,0.4831833,0.0,50,150,2,3,100,100
100,true,0.0,0.43714616,0.0,50,150,2,3,150,100
100,true,0.0,0.38398823,0.0,50,150,2,3,200,100
100,true,0.0,0.7718119,0.0,50,150,2,4,10,100
100,true,0.0,0.5726381,0.0,50,150,2,4,50,100
100,true,0.0,0.48696345,0.0,50,150,2,4,100,100
100,true,0.0,0.4497686,0.0,50,150,2,4,150,100
100,true,0.0,0.39163628,0.0,50,150,2,4,200,100
100,true,0.0,0.78947794,0.0,50,150,2,5,10,100
100,true,0.0,0.57439274,0.0,50,150,2,5,50,100
100,true,0.0,0.48225918,0.0,50,150,2,5,100,100
100,true,0.0,0.4473187,0.0,50,150,2,5,150,100
100,true,0.0,0.39714155,0.0,50,150,2,5,200,100
100,true,0.0,0.61622363,0.0,50,150,3,1,10,100
100,true,0.0,0.55376446,0.0,50,150,3,1,50,100
100,true,0.0,0.47950348,0.0,50,150,3,1,100,100
100,true,0.0,0.41241208,0.0,50,150,3,1,150,100
100,true,0.0,0.35273248,0.0,50,150,3,1,200,100
100,true,0.0,0.8368346,0.0,50,150,3,2,10,100
100,true,0.0,0.6839534,0.0,50,150,3,2,50,100
100,true,0.0,0.616775,0.0,50,150,3,2,100,100
100,true,0.0,0.5430521,0.0,50,150,3,2,150,100
100,true,0.0,0.47566402,0.0,50,150,3,2,200,100
100,true,12.0,0.9053633,57075.0,50,150,3,3,10,100
100,true,0.0,0.7137156,0.0,50,150,3,3,50,100
100,true,0.0,0.63172257,0.0,50,150,3,3,100,100
100,true,0.0,0.5661221,0.0,50,150,3,3,150,100
100,true,0.0,0.5029034,0.0,50,150,3,3,200,100
100,true,23.0,0.92844266,67415.22,50,150,3,4,10,100
100,true,0.0,0.77161026,0.0,50,150,3,4,50,100
100,true,0.0,0.63238347,0.0,50,150,3,4,100,100
100,true,0.0,0.57447195,0.0,50,150,3,4,150,100
100,true,0.0,0.51260215,0.0,50,150,3,4,200,100
100,true,25.0,0.9246066,70254.0,50,150,3,5,10,100
100,true,0.0,0.79886216,0.0,50,150,3,5,50,100
100,true,0.0,0.6354188,0.0,50,150,3,5,100,100
100,true,0.0,0.57130694,0.0,50,150,3,5,150,100
100,true,0.0,0.5127062,0.0,50,150,3,5,200,100
100,true,0.0,0.66380394,0.0,50,150,4,1,10,100
100,true,0.0,0.58776236,0.0,50,150,4,1,50,100
100,true,0.0,0.564865,0.0,50,150,4,1,100,100
100,true,0.0,0.49914527,0.0,50,150,4,1,150,100
100,true,0.0,0.43937853,0.0,50,150,4,1,200,100
100,true,30.0,0.9305941,50253.332,50,150,4,2,10,100
100,true,1.0,0.71572113,47200.0,50,150,4,2,50,100
100,true,0.0,0.70071334,0.0,50,150,4,2,100,100
100,true,0.0,0.6543361,0.0,50,150,4,2,150,100
100,true,0.0,0.5954233,0.0,50,150,4,2,200,100
100,true,67.0,0.98136055,62026.867,50,150,4,3,10,100
100,true,3.0,0.86576813,74266.664,50,150,4,3,50,100
100,true,1.0,0.7095625,61800.0,50,150,4,3,100,100
100,true,0.0,0.663704,0.0,50,150,4,3,150,100
100,true,0.0,0.61233974,0.0,50,150,4,3,200,100
100,true,85.0,0.9922403,70894.12,50,150,4,4,10,100
100,true,4.0,0.8969879,79400.0,50,150,4,4,50,100
100,true,1.0,0.7290479,61800.0,50,150,4,4,100,100
100,true,0.0,0.676988,0.0,50,150,4,4,150,100
100,true,0.0,0.61432993,0.0,50,150,4,4,200,100
100,true,97.0,0.9986928,78206.19,50,150,4,5,10,100
100,true,8.0,0.90335023,109425.0,50,150,4,5,50,100
100,true,1.0,0.7399386,61800.0,50,150,4,5,100,100
100,true,0.0,0.6741997,0.0,50,150,4,5,150,100
100,true,0.0,0.62246346,0.0,50,150,4,5,200,100
100,true,0.0,0.68344814,0.0,50,150,5,1,10,100
100,true,0.0,0.6498639,0.0,50,150,5,1,50,100
100,true,0.0,0.61087716,0.0,50,150,5,1,100,100
100,true,0.0,0.53829443,0.0,50,150,5,1,150,100
100,true,0.0,0.50431967,0.0,50,150,5,1,200,100
100,true,80.0,0.9712073,58928.125,50,150,5,2,10,100
100,true,17.0,0.87429756,65088.234,50,150,5,2,50,100
100,true,1.0,0.72289824,64250.0,50,150,5,2,100,100
100,true,1.0,0.63506085,66500.0,50,150,5,2,150,100
100,true,0.0,0.6419829,0.0,50,150,5,2,200,100
100,true,100.0,1.0,64765.0,50,150,5,3,10,100
100,true,46.0,0.9603635,83331.52,50,150,5,3,50,100
100,true,5.0,0.7804112,88700.0,50,150,5,3,100,100
100,true,2.0,0.64665306,80125.0,50,150,5,3,150,100
100,true,0.0,0.6540544,0.0,50,150,5,3,200,100
100,true,100.0,1.0,64765.0,50,150,5,4,10,100
100,true,64.0,0.9784592,95964.84,50,150,5,4,50,100
100,true,12.0,0.8528072,114979.164,50,150,5,4,100,100
100,true,2.0,0.66481256,80125.0,50,150,5,4,150,100
100,true,0.0,0.6578641,0.0,50,150,5,4,200,100
100,true,100.0,1.0,64765.0,50,150,5,5,10,100
100,true,82.0,0.98925686,111442.07,50,150,5,5,50,100
100,true,17.0,0.88599795,127852.94,50,150,5,5,100,100
100,true,3.0,0.67948747,115333.336,50,150,5,5,150,100
100,true,0.0,0.66447496,0.0,50,150,5,5,200,100
